doc_type,meeting_date,avail_date,release_estimated,n_chars,lex_abg_hawk,lex_abg_dove,lex_abg_net,lex_abg_fomc_hawk,lex_abg_fomc_dove,lex_abg_fomc_net,emb_score,emb_coverage
minutes,2018-01-31,2018-02-21,False,80931,17,5,0.5217391304347826,31,12,0.4318181818181818,-0.02348737102993107,0.9979716024340771
statement,2018-03-21,2018-03-21,False,2961,1,0,0.5,1,0,0.5,-0.04422185526589589,1.0
minutes,2018-03-21,2018-04-11,False,48507,14,8,0.2608695652173913,20,15,0.1388888888888889,-0.0276549809993381,0.9967845659163987
statement,2018-05-02,2018-05-02,False,2782,0,1,-0.5,0,1,-0.5,-0.04554322336543735,0.9583333333333334
minutes,2018-05-02,2018-05-23,False,52588,12,12,0.0,23,20,0.06818181818181818,-0.02080028025300622,0.9940298507462687
statement,2018-06-13,2018-06-13,False,2141,0,0,0.0,1,0,0.5,-0.03673937258079994,1.0
minutes,2018-06-13,2018-07-05,False,47439,9,3,0.46153846153846156,20,6,0.5185185185185185,-0.021920500086237728,0.99
statement,2018-08-01,2018-08-01,False,2079,0,0,0.0,0,0,0.0,-0.04253363294930589,1.0
minutes,2018-08-01,2018-08-22,False,55340,3,6,-0.3,9,8,0.05555555555555555,-0.027360022018802502,0.997229916897507
statement,2018-09-26,2018-09-26,False,1951,0,0,0.0,0,0,0.0,-0.02955736828333642,1.0
minutes,2018-09-26,2018-10-17,False,47482,15,5,0.47619047619047616,23,9,0.42424242424242425,-0.01644520540872911,0.993421052631579
statement,2018-11-08,2018-11-08,False,2028,0,0,0.0,1,0,0.5,-0.031088655454913922,1.0
minutes,2018-11-08,2018-11-29,False,55576,12,4,0.47058823529411764,23,13,0.2702702702702703,-0.007524145227334814,0.997134670487106
statement,2018-12-19,2018-12-19,False,2209,0,0,0.0,0,0,0.0,-0.027559791250216775,1.0
minutes,2018-12-19,2019-01-09,False,56536,6,4,0.18181818181818182,14,26,-0.2926829268292683,-0.021874582007885356,0.9972144846796658
statement,2019-01-30,2019-01-30,False,2206,0,0,0.0,0,1,-0.5,-0.04361200944279336,1.0
minutes,2019-01-30,2019-02-20,False,92905,5,8,-0.21428571428571427,15,24,-0.225,-0.022470018062130375,0.9981785063752276
statement,2019-03-20,2019-03-20,False,2302,1,2,-0.25,1,4,-0.5,-0.04329263612126017,1.0
minutes,2019-03-20,2019-04-10,False,61346,14,16,-0.06451612903225806,24,40,-0.24615384615384617,-0.029906899917757242,0.9918256130790191
statement,2019-05-01,2019-05-01,False,2137,0,0,0.0,0,1,-0.5,-0.03640796606019283,0.95
minutes,2019-05-01,2019-05-22,False,62151,11,7,0.21052631578947367,17,25,-0.18604651162790697,-0.02243631614160392,0.9973684210526316
statement,2019-06-19,2019-06-19,False,2376,0,0,0.0,0,2,-0.6666666666666666,-0.031659065542734066,1.0
minutes,2019-06-19,2019-07-10,False,55225,7,5,0.15384615384615385,10,28,-0.46153846153846156,-0.02640128638333104,0.9942528735632183
statement,2019-07-31,2019-07-31,False,2661,0,1,-0.5,0,2,-0.6666666666666666,-0.033984406363905546,1.0
minutes,2019-07-31,2019-08-21,False,68958,13,16,-0.1,20,32,-0.22641509433962265,-0.0328003378213112,0.9975124378109452
statement,2019-09-18,2019-09-18,False,2556,0,1,-0.5,0,2,-0.6666666666666666,-0.0263580830262577,1.0
minutes,2019-09-18,2019-10-09,False,71259,5,14,-0.45,12,34,-0.46808510638297873,-0.03265907402753771,0.9976133651551312
statement,2019-10-30,2019-10-30,False,2331,0,1,-0.5,0,2,-0.6666666666666666,-0.03212988722050788,1.0
minutes,2019-10-30,2019-11-20,False,83352,4,12,-0.47058823529411764,8,32,-0.5853658536585366,-0.02739254582447258,0.9958677685950413
statement,2019-12-11,2019-12-11,False,2127,0,1,-0.5,0,2,-0.6666666666666666,-0.04188794706695248,1.0
minutes,2019-12-11,2020-01-03,False,57192,7,17,-0.4,12,26,-0.358974358974359,-0.025552305729366512,0.9973614775725593
statement,2020-01-29,2020-01-29,False,2135,0,1,-0.5,0,2,-0.6666666666666666,-0.03770790996405417,0.9473684210526315
minutes,2020-01-29,2020-02-19,False,87648,7,7,0.0,17,16,0.029411764705882353,-0.02282368247638757,0.9961904761904762
statement,2020-03-03,2020-03-03,False,800,0,0,0.0,0,0,0.0,-0.043460562950341924,0.9166666666666666
statement,2020-03-15,2020-03-15,False,4587,0,0,0.0,0,2,-0.6666666666666666,-0.026495795921538116,0.9714285714285714
statement,2020-03-23,2020-03-23,False,4087,0,0,0.0,0,0,0.0,-0.01607154512393976,0.9642857142857143
minutes,2020-03-15,2020-04-08,False,65187,2,4,-0.2857142857142857,6,23,-0.5666666666666667,-0.0168519937117923,0.9924812030075187
statement,2020-04-29,2020-04-29,False,2838,0,1,-0.5,0,2,-0.6666666666666666,-0.03206629368722848,0.9545454545454546
minutes,2020-04-29,2020-05-20,False,58897,1,8,-0.7,4,19,-0.625,-0.009644527852385837,0.9945054945054945
statement,2020-06-10,2020-06-10,False,2840,0,1,-0.5,0,2,-0.6666666666666666,-0.03198158458873208,0.9545454545454546
